==========
Args:Namespace(arch='resnet50', cuhk03_classic_split=False, cuhk03_labeled=False, dataset='market1501', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='0', height=256, lr=0.0003, lr_cent=0.5, max_epoch=60, print_freq=2, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=20, test_batch=32, train_batch=32, use_cpu=False, use_metric_cuhk03=False, weight_cent=0.0005, weight_decay=0.0005, width=128, workers=4)
==========
Currently using CPU (GPU is highly recommended)
=> Market1501 loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |   751 |    12936
  query    |   750 |     3368
  gallery  |   751 |    19732
  ------------------------------
  total    |  1501 |    36036
  ------------------------------
Initializing model: resnet50
Model size: 25.04683M
start training
==> Start training
Epoch: [1][228/404]	Bacth_Time 23.328 (20.368)	Data 0.004 (0.027)	Loss 5.7123 (6.3953)	
Epoch: [1][230/404]	Bacth_Time 22.278 (20.388)	Data 0.003 (0.027)	Loss 5.6797 (6.3912)	
Epoch: [1][232/404]	Bacth_Time 20.662 (20.394)	Data 0.004 (0.027)	Loss 5.6527 (6.3858)	
Epoch: [1][234/404]	Bacth_Time 22.053 (20.408)	Data 0.003 (0.027)	Loss 6.0897 (6.3826)	
Epoch: [1][236/404]	Bacth_Time 20.796 (20.425)	Data 0.005 (0.027)	Loss 5.8892 (6.3798)	
Epoch: [1][238/404]	Bacth_Time 22.429 (20.431)	Data 0.005 (0.026)	Loss 6.0379 (6.3751)	
Epoch: [1][240/404]	Bacth_Time 22.845 (20.441)	Data 0.004 (0.026)	Loss 5.8848 (6.3711)	
Epoch: [1][242/404]	Bacth_Time 24.566 (20.465)	Data 0.004 (0.026)	Loss 5.7183 (6.3665)	
Epoch: [1][244/404]	Bacth_Time 22.310 (20.475)	Data 0.004 (0.026)	Loss 5.6307 (6.3622)	
Epoch: [1][246/404]	Bacth_Time 25.407 (20.491)	Data 0.004 (0.026)	Loss 6.0296 (6.3581)	
Epoch: [1][248/404]	Bacth_Time 21.951 (20.511)	Data 0.009 (0.026)	Loss 5.8865 (6.3559)	
Epoch: [1][250/404]	Bacth_Time 20.932 (20.518)	Data 0.004 (0.025)	Loss 5.9124 (6.3511)	
Epoch: [1][252/404]	Bacth_Time 22.112 (20.522)	Data 0.004 (0.025)	Loss 5.8398 (6.3460)	
